Graph loaded
<torch.utils.data.dataloader.DataLoader object at 0x7f2ac1422250>
Data Loaded
Starting training
Epoch 4: loss=5.4790
Epoch 4: loss=5.3380
Epoch 4: loss=5.4504
Epoch 4: loss=5.3272
Epoch 4: loss=5.3258
Epoch 4: loss=5.3247
Epoch 4: loss=5.3195
Epoch 4: loss=5.3169
Epoch 4: loss=5.3094
Epoch 4: loss=5.2994
Epoch 4: loss=5.6091
Epoch 4: loss=5.3052
Epoch 4: loss=5.7617
Epoch 4: loss=5.3011
Epoch 4: loss=5.2938
Epoch 4: loss=5.4767
Epoch 4: loss=5.2885
Epoch 4: loss=5.4478
Epoch 4: loss=5.6983
Epoch 4: loss=5.3042
Epoch 4: loss=5.6321
Epoch 4: loss=5.3154
Epoch 4: loss=5.3167
Epoch 4: loss=5.4460
Epoch 4: loss=5.3142
Epoch 4: loss=5.5798
Epoch 4: loss=5.9211
Epoch 4: loss=5.3062
Epoch 4: loss=5.3036
Epoch 4: loss=5.2975
Epoch 4: loss=5.2874
Epoch 4: loss=6.0028
Epoch 4: loss=5.6552
Epoch 4: loss=5.2589
Epoch 4: loss=5.2565
Epoch 4: loss=5.2535
Epoch 4: loss=5.4173
Epoch 4: loss=5.2416
Epoch 4: loss=6.0407
Epoch 5: loss=5.6270
Epoch 5: loss=5.6134
Epoch 5: loss=5.3978
Epoch 5: loss=5.2507
Epoch 5: loss=6.0293
Epoch 5: loss=5.3874
Epoch 5: loss=5.2735
Epoch 5: loss=5.2704
Epoch 5: loss=5.3771
Epoch 5: loss=5.5698
Epoch 5: loss=5.5566
Epoch 5: loss=5.3556
Epoch 5: loss=5.2401
Epoch 5: loss=5.2328
Epoch 5: loss=5.3519
Epoch 5: loss=5.2133
Epoch 5: loss=5.2028
Epoch 5: loss=5.1960
Epoch 5: loss=5.1896
Epoch 5: loss=5.1808
Epoch 5: loss=5.7114
Epoch 5: loss=6.0132
Epoch 5: loss=5.2732
Epoch 5: loss=5.1742
Epoch 5: loss=5.6774
Epoch 5: loss=5.1856
Epoch 5: loss=6.1313
Epoch 5: loss=5.2025
Epoch 5: loss=5.2159
Epoch 5: loss=5.5967
Epoch 5: loss=6.0977
Epoch 5: loss=5.2302
Epoch 5: loss=5.2280
Epoch 5: loss=6.0617
Epoch 5: loss=5.2272
Epoch 5: loss=5.3537
Epoch 5: loss=5.5293
Epoch 5: loss=5.2089
Epoch 5: loss=5.1982
Epoch 5: loss=5.9146
Epoch 5: loss=6.0113
Epoch 5: loss=5.3206
Epoch 5: loss=5.1949
Epoch 5: loss=5.3177
Epoch 5: loss=5.1836
Epoch 5: loss=5.2934
Epoch 5: loss=5.1667
Epoch 5: loss=5.9639
Epoch 5: loss=5.1558
Epoch 5: loss=5.1504
Epoch 5: loss=5.2787
Epoch 5: loss=5.1359
Epoch 5: loss=5.1261
Epoch 5: loss=5.9535
Epoch 5: loss=5.7947
Epoch 5: loss=5.9069
Epoch 5: loss=5.1145
Epoch 5: loss=5.9215
Epoch 5: loss=5.8381
Epoch 5: loss=5.8486
Epoch 5: loss=5.7931
Epoch 5: loss=5.5677
Epoch 6: loss=5.2112
Epoch 6: loss=5.2205
Epoch 6: loss=5.2184
Epoch 6: loss=5.5907
Epoch 6: loss=5.9855
Epoch 6: loss=5.1900
Epoch 6: loss=5.1769
Epoch 6: loss=5.1548
Epoch 6: loss=5.7690
Epoch 6: loss=5.1173
Epoch 6: loss=5.1006
Epoch 6: loss=5.0810
Epoch 6: loss=5.3001
Epoch 6: loss=5.0515
Epoch 6: loss=6.0253
Epoch 6: loss=5.0357
Epoch 6: loss=5.0234
Epoch 6: loss=5.8342
Epoch 6: loss=5.7189
Epoch 6: loss=5.0472
Epoch 6: loss=5.6714
Epoch 6: loss=5.6002
Epoch 6: loss=5.1817
Epoch 6: loss=5.2033
Epoch 6: loss=5.5548
Epoch 6: loss=5.1389
Epoch 6: loss=5.0902
Epoch 6: loss=5.7287
Epoch 6: loss=6.1976
Epoch 6: loss=5.5914
Epoch 6: loss=5.6151
Epoch 6: loss=5.3333
Epoch 6: loss=5.7291
Epoch 6: loss=5.6082
Epoch 6: loss=5.2664
Epoch 6: loss=5.7747
Epoch 6: loss=5.5432
Epoch 6: loss=5.0357
Epoch 6: loss=5.0224
Epoch 6: loss=5.5212
Epoch 6: loss=5.9369
Epoch 6: loss=5.0204
Epoch 6: loss=5.2263
Epoch 6: loss=5.0105
Epoch 6: loss=5.6972
Epoch 6: loss=5.1055
Epoch 6: loss=5.0846
Epoch 6: loss=5.0911
Epoch 6: loss=4.9148
Epoch 6: loss=5.5464
Epoch 6: loss=4.9051
Epoch 6: loss=4.8856
Epoch 6: loss=4.8694
Epoch 6: loss=5.7885
Epoch 6: loss=4.9047
Epoch 6: loss=4.8402
Epoch 6: loss=4.8573
Epoch 6: loss=4.8365
Epoch 6: loss=4.7874
Epoch 6: loss=6.1128
Epoch 6: loss=5.1990
Epoch 6: loss=5.2803
Epoch 7: loss=5.1065
Epoch 7: loss=4.7828
Epoch 7: loss=5.4175
Epoch 7: loss=5.9891
Epoch 7: loss=5.9889
Epoch 7: loss=5.7363
Epoch 7: loss=5.5875
Epoch 7: loss=5.8761
Epoch 7: loss=5.4781
Epoch 7: loss=5.1087
Epoch 7: loss=5.2964
Epoch 7: loss=5.7727
Epoch 7: loss=5.2938
Epoch 7: loss=5.6820
Epoch 7: loss=5.6222
Epoch 7: loss=6.0205
Epoch 7: loss=5.3598
Epoch 7: loss=5.5102
Epoch 7: loss=5.5470
Epoch 7: loss=5.3575
Epoch 7: loss=5.7281
Epoch 7: loss=5.7504
Epoch 7: loss=5.6835
Epoch 7: loss=5.2694
Epoch 7: loss=5.3431
Epoch 7: loss=5.6547
Epoch 7: loss=5.7533
Epoch 7: loss=5.1912
Epoch 7: loss=4.9431
Epoch 7: loss=5.8154
Epoch 7: loss=5.6609
Epoch 7: loss=4.9548
Epoch 7: loss=4.9312
Epoch 7: loss=4.8590
Epoch 7: loss=4.8410
Epoch 7: loss=5.1074
Epoch 7: loss=4.9974
Epoch 7: loss=4.9341
Epoch 7: loss=5.9741
Epoch 7: loss=4.8540
Epoch 7: loss=5.5241
Epoch 7: loss=4.9215
Epoch 7: loss=5.6427
Epoch 7: loss=4.9615
Epoch 7: loss=5.4735
Epoch 7: loss=5.5592
Epoch 7: loss=5.4446
Epoch 7: loss=5.6482
Epoch 7: loss=5.6172
Epoch 7: loss=5.3907
Epoch 7: loss=5.0391
Epoch 7: loss=4.9099
Epoch 7: loss=5.5467
Epoch 7: loss=5.5745
Epoch 7: loss=5.6876
Epoch 7: loss=5.5361
Epoch 7: loss=5.1597
Epoch 7: loss=5.0567
Epoch 7: loss=4.8387
Epoch 7: loss=5.9547
Epoch 7: loss=5.1531
Epoch 7: loss=5.7315
Epoch 8: loss=5.0799
Epoch 8: loss=5.0125
Epoch 8: loss=5.7246
Epoch 8: loss=4.8742
Epoch 8: loss=4.8888
Epoch 8: loss=5.7539
Epoch 8: loss=5.5676
Epoch 8: loss=5.0130
Epoch 8: loss=5.1239
Epoch 8: loss=4.8204
Epoch 8: loss=5.5785
Epoch 8: loss=4.9011
Epoch 8: loss=4.9531
Epoch 8: loss=4.8400
Epoch 8: loss=4.9106
Epoch 8: loss=4.8699
Epoch 8: loss=5.9497
Epoch 8: loss=5.8949
Epoch 8: loss=5.8140
Epoch 8: loss=5.4276
Epoch 8: loss=5.3955
Epoch 8: loss=5.3707
Epoch 8: loss=5.3644
Epoch 8: loss=4.8487
Epoch 8: loss=4.7683
Epoch 8: loss=5.3718
Epoch 8: loss=4.9797
Epoch 8: loss=4.9032
Epoch 8: loss=4.6651
Epoch 8: loss=4.7848
Epoch 8: loss=4.6764
Epoch 8: loss=5.3260
Epoch 8: loss=6.1708
Epoch 8: loss=4.6111
Epoch 8: loss=5.4003
Epoch 8: loss=4.6258
Epoch 8: loss=5.2552
Epoch 8: loss=5.3786
Epoch 8: loss=4.5930
Epoch 8: loss=4.5741
Epoch 8: loss=5.3313
Epoch 8: loss=4.5492
Epoch 8: loss=4.5125
Epoch 8: loss=4.4955
Epoch 8: loss=4.4937
Epoch 8: loss=5.7394
Epoch 8: loss=6.0326
Epoch 8: loss=5.3871
Epoch 8: loss=5.1940
Epoch 8: loss=5.5717
Epoch 8: loss=5.2441
Epoch 8: loss=5.0977
Epoch 8: loss=4.8569
Epoch 8: loss=5.0242
Epoch 8: loss=5.9387
Epoch 8: loss=5.7012
Epoch 8: loss=5.3413
Epoch 8: loss=5.7488
Epoch 8: loss=5.8893
Epoch 8: loss=5.0952
Epoch 8: loss=4.8483
Epoch 8: loss=5.5871
Epoch 9: loss=4.6904
Epoch 9: loss=4.7979
Epoch 9: loss=4.8569
Epoch 9: loss=5.2685
Epoch 9: loss=5.3401
Epoch 9: loss=5.2870
Epoch 9: loss=4.5862
Epoch 9: loss=5.2470
Epoch 9: loss=4.9224
Epoch 9: loss=4.6998
Epoch 9: loss=5.7447
Epoch 9: loss=4.6191
Epoch 9: loss=4.5544
Epoch 9: loss=4.5672
Epoch 9: loss=5.4274
Epoch 9: loss=5.2997
Epoch 9: loss=4.6198
Epoch 9: loss=4.8397
Epoch 9: loss=4.7502
Epoch 9: loss=4.5515
Epoch 9: loss=4.5170
Epoch 9: loss=4.8121
Epoch 9: loss=4.5154
Epoch 9: loss=4.4807
Epoch 9: loss=4.4668
Epoch 9: loss=4.4849
Epoch 9: loss=4.4883
Epoch 9: loss=4.4706
Epoch 9: loss=4.4482
Epoch 9: loss=6.4976
Epoch 9: loss=5.9105
