Graph loaded
<torch.utils.data.dataloader.DataLoader object at 0x7f4ae98242e0>
Data Loaded
Starting training
Epoch 4: loss=5.3959
Epoch 4: loss=5.3975
Epoch 4: loss=5.4746
Epoch 4: loss=5.3859
Epoch 4: loss=5.4576
Epoch 4: loss=6.3540
Epoch 4: loss=6.1479
Epoch 4: loss=5.3884
Epoch 4: loss=6.0968
Epoch 4: loss=6.2998
Epoch 4: loss=5.4518
Epoch 4: loss=5.4534
Epoch 4: loss=5.8308
Epoch 4: loss=5.4209
Epoch 4: loss=5.3887
Epoch 4: loss=5.3644
Epoch 4: loss=5.7648
Epoch 4: loss=5.5733
Epoch 4: loss=5.3734
Epoch 4: loss=5.3888
Epoch 4: loss=5.4006
Epoch 4: loss=5.5064
Epoch 4: loss=5.4052
Epoch 4: loss=5.3962
Epoch 4: loss=5.3819
Epoch 4: loss=5.3615
Epoch 4: loss=5.3393
Epoch 4: loss=5.3178
Epoch 4: loss=6.1177
Epoch 4: loss=5.4454
Epoch 4: loss=5.3108
Epoch 4: loss=5.4876
Epoch 4: loss=5.3527
Epoch 4: loss=6.1010
Epoch 4: loss=5.3042
Epoch 5: loss=5.2642
Epoch 5: loss=5.2506
Epoch 5: loss=7.6615
Epoch 5: loss=5.3014
Epoch 5: loss=6.1278
Epoch 5: loss=5.3861
Epoch 5: loss=5.5035
Epoch 5: loss=5.8482
Epoch 5: loss=5.7881
Epoch 5: loss=5.4981
Epoch 5: loss=5.5564
Epoch 5: loss=5.4953
Epoch 5: loss=5.7802
Epoch 5: loss=5.4546
Epoch 5: loss=5.8038
Epoch 5: loss=5.9754
Epoch 5: loss=6.0265
Epoch 5: loss=5.4415
Epoch 5: loss=5.3653
Epoch 5: loss=5.7951
Epoch 5: loss=5.3887
Epoch 5: loss=5.3049
Epoch 5: loss=5.2884
Epoch 5: loss=5.2706
Epoch 5: loss=5.7684
Epoch 5: loss=5.9962
Epoch 5: loss=5.3893
Epoch 5: loss=5.7002
Epoch 5: loss=6.5609
Epoch 5: loss=6.2924
Epoch 5: loss=5.2796
Epoch 5: loss=5.2793
Epoch 5: loss=5.9195
Epoch 5: loss=5.2856
Epoch 5: loss=5.2994
Epoch 5: loss=5.2994
Epoch 5: loss=5.2839
Epoch 5: loss=5.2678
Epoch 5: loss=5.2568
Epoch 5: loss=5.4558
Epoch 5: loss=5.4050
Epoch 5: loss=5.2316
Epoch 5: loss=5.2312
Epoch 5: loss=5.2280
Epoch 5: loss=5.2187
Epoch 5: loss=6.1247
Epoch 5: loss=6.0685
Epoch 5: loss=5.6605
Epoch 5: loss=7.4774
Epoch 5: loss=5.6848
Epoch 5: loss=6.2943
Epoch 5: loss=5.3770
Epoch 5: loss=5.4277
Epoch 5: loss=5.4569
Epoch 5: loss=5.4645
Epoch 5: loss=5.4546
Epoch 5: loss=5.4318
Epoch 5: loss=5.3975
Epoch 5: loss=5.5528
Epoch 5: loss=5.6952
Epoch 5: loss=5.7764
Epoch 6: loss=5.2599
Epoch 6: loss=5.6962
Epoch 6: loss=5.2346
Epoch 6: loss=6.2067
Epoch 6: loss=5.9874
Epoch 6: loss=5.7597
Epoch 6: loss=5.9433
Epoch 6: loss=5.2606
Epoch 6: loss=5.2726
Epoch 6: loss=5.3659
Epoch 6: loss=5.8613
Epoch 6: loss=5.8147
Epoch 6: loss=5.3848
Epoch 6: loss=5.2303
Epoch 6: loss=5.6285
Epoch 6: loss=5.2220
Epoch 6: loss=5.2146
Epoch 6: loss=5.2010
Epoch 6: loss=5.1808
Epoch 6: loss=5.1598
Epoch 6: loss=5.1467
Epoch 6: loss=5.1369
Epoch 6: loss=5.8593
Epoch 6: loss=5.1339
Epoch 6: loss=5.6795
Epoch 6: loss=5.8368
Epoch 6: loss=5.1959
Epoch 6: loss=5.2162
Epoch 6: loss=5.2184
Epoch 6: loss=5.1982
Epoch 6: loss=5.1721
Epoch 6: loss=5.6115
Epoch 6: loss=5.3997
Epoch 6: loss=5.7636
Epoch 6: loss=5.3044
Epoch 6: loss=5.0990
Epoch 6: loss=5.7224
Epoch 6: loss=5.0693
Epoch 6: loss=5.0672
Epoch 6: loss=5.0641
Epoch 6: loss=5.0493
Epoch 6: loss=5.0433
Epoch 6: loss=5.0347
Epoch 6: loss=5.1707
Epoch 6: loss=5.8176
Epoch 6: loss=5.0027
Epoch 6: loss=4.9926
Epoch 6: loss=5.8067
Epoch 6: loss=5.0010
Epoch 6: loss=5.6315
Epoch 6: loss=5.3288
Epoch 6: loss=5.2355
Epoch 6: loss=5.0088
Epoch 6: loss=4.9757
Epoch 6: loss=5.7411
Epoch 6: loss=5.0040
Epoch 6: loss=4.9804
