Graph loaded
<torch.utils.data.dataloader.DataLoader object at 0x7f2a0cde4670>
Data Loaded
Starting training
Epoch 4: loss=5.6667
Epoch 4: loss=5.6671
Epoch 4: loss=6.2393
Epoch 4: loss=4.9625
Epoch 4: loss=5.4004
Epoch 4: loss=5.5840
Epoch 4: loss=4.9431
Epoch 4: loss=5.5438
Epoch 4: loss=5.4519
Epoch 4: loss=5.4696
Epoch 4: loss=4.9538
Epoch 4: loss=6.0208
Epoch 4: loss=5.3893
Epoch 4: loss=5.0328
Epoch 4: loss=5.0254
Epoch 4: loss=5.5603
Epoch 4: loss=5.3245
Epoch 4: loss=5.7392
Epoch 4: loss=4.8684
Epoch 4: loss=4.8365
Epoch 4: loss=5.8020
Epoch 4: loss=4.8807
Epoch 4: loss=5.2639
Epoch 4: loss=5.2703
Epoch 4: loss=4.9377
Epoch 4: loss=4.8868
Epoch 4: loss=4.8299
Epoch 4: loss=5.2888
Epoch 4: loss=4.8198
Epoch 4: loss=5.3834
Epoch 4: loss=5.5835
Epoch 4: loss=5.2793
Epoch 4: loss=4.9386
Epoch 4: loss=4.9150
Epoch 4: loss=4.8511
Epoch 5: loss=5.3131
Epoch 5: loss=5.2243
Epoch 5: loss=5.4976
Epoch 5: loss=4.8179
Epoch 5: loss=5.7186
Epoch 5: loss=5.3697
Epoch 5: loss=5.3016
Epoch 5: loss=5.0216
Epoch 5: loss=5.2480
Epoch 5: loss=5.0228
Epoch 5: loss=4.9622
Epoch 5: loss=4.8626
Epoch 5: loss=5.5135
Epoch 5: loss=5.4660
Epoch 5: loss=5.3727
Epoch 5: loss=4.8081
Epoch 5: loss=4.8371
Epoch 5: loss=5.6710
Epoch 5: loss=5.2313
Epoch 5: loss=4.8080
Epoch 5: loss=4.7751
Epoch 5: loss=4.7367
Epoch 5: loss=5.5532
Epoch 5: loss=5.2363
Epoch 5: loss=5.2251
Epoch 5: loss=4.8900
Epoch 5: loss=4.8933
Epoch 5: loss=4.8496
Epoch 5: loss=4.7785
Epoch 5: loss=4.7059
Epoch 5: loss=5.4939
Epoch 5: loss=4.7226
Epoch 5: loss=5.0831
Epoch 5: loss=5.1142
Epoch 5: loss=4.7933
Epoch 5: loss=5.0521
Epoch 5: loss=5.0879
Epoch 5: loss=5.1898
Epoch 5: loss=4.7196
Epoch 5: loss=4.7209
Epoch 5: loss=5.0952
Epoch 5: loss=4.7136
Epoch 5: loss=4.6909
Epoch 5: loss=5.0043
Epoch 5: loss=4.6437
Epoch 5: loss=4.6205
Epoch 5: loss=5.0470
Epoch 5: loss=4.6155
Epoch 5: loss=4.6178
Epoch 5: loss=4.6031
Epoch 5: loss=4.5823
Epoch 5: loss=4.5731
Epoch 5: loss=4.9823
Epoch 5: loss=4.5956
Epoch 5: loss=5.1796
Epoch 5: loss=4.9360
Epoch 5: loss=4.5984
Epoch 5: loss=4.9151
Epoch 5: loss=4.5815
Epoch 5: loss=4.5604
Epoch 5: loss=4.9029
Epoch 6: loss=4.5122
Epoch 6: loss=5.4734
Epoch 6: loss=4.8276
Epoch 6: loss=6.4467
Epoch 6: loss=5.0166
Epoch 6: loss=4.6030
Epoch 6: loss=4.6413
Epoch 6: loss=4.6281
Epoch 6: loss=4.5840
Epoch 6: loss=4.5474
Epoch 6: loss=5.4735
Epoch 6: loss=5.4279
Epoch 6: loss=4.6175
Epoch 6: loss=4.5929
Epoch 6: loss=5.8605
Epoch 6: loss=4.6236
Epoch 6: loss=4.7118
Epoch 6: loss=5.1461
Epoch 6: loss=5.1837
Epoch 6: loss=4.5931
Epoch 6: loss=4.4736
Epoch 6: loss=4.5320
Epoch 6: loss=4.5964
Epoch 6: loss=4.5288
Epoch 6: loss=5.3567
Epoch 6: loss=4.4410
Epoch 6: loss=6.9452
Epoch 6: loss=4.5877
Epoch 6: loss=5.4933
Epoch 6: loss=4.7894
Epoch 6: loss=4.7489
Epoch 6: loss=4.6049
Epoch 6: loss=4.4961
Epoch 6: loss=4.4824
Epoch 6: loss=4.5228
Epoch 6: loss=5.4737
Epoch 6: loss=5.4793
Epoch 6: loss=4.4544
Epoch 6: loss=5.5033
Epoch 6: loss=4.6672
Epoch 6: loss=4.7339
Epoch 6: loss=5.2214
Epoch 6: loss=4.6312
Epoch 6: loss=4.6190
Epoch 6: loss=4.9498
Epoch 6: loss=4.5700
Epoch 6: loss=4.4916
Epoch 6: loss=5.7096
Epoch 6: loss=4.6142
Epoch 6: loss=4.6893
Epoch 6: loss=5.4513
Epoch 6: loss=4.5741
Epoch 6: loss=4.4986
Epoch 6: loss=4.5053
Epoch 6: loss=4.5444
Epoch 6: loss=5.1091
Epoch 6: loss=4.5435
Epoch 6: loss=4.9522
Epoch 6: loss=4.4489
Epoch 6: loss=4.4447
Epoch 6: loss=4.4705
Epoch 7: loss=4.8909
Epoch 7: loss=4.4200
Epoch 7: loss=4.7816
Epoch 7: loss=4.4190
Epoch 7: loss=7.2382
Epoch 7: loss=5.1767
Epoch 7: loss=4.4507
Epoch 7: loss=7.0896
Epoch 7: loss=6.5713
Epoch 7: loss=5.7093
Epoch 7: loss=5.6078
Epoch 7: loss=5.7755
Epoch 7: loss=6.0382
Epoch 7: loss=5.7473
Epoch 7: loss=5.7415
Epoch 7: loss=5.6884
Epoch 7: loss=5.8095
Epoch 7: loss=5.7669
Epoch 7: loss=5.2571
Epoch 7: loss=5.0119
Epoch 7: loss=5.7598
Epoch 7: loss=5.1800
Epoch 7: loss=4.7418
Epoch 7: loss=4.7845
Epoch 7: loss=5.1557
Epoch 7: loss=4.7436
Epoch 7: loss=4.6362
Epoch 7: loss=4.5763
Epoch 7: loss=5.1701
Epoch 7: loss=5.3791
Epoch 7: loss=5.3882
Epoch 7: loss=5.1541
Epoch 7: loss=4.8453
Epoch 7: loss=4.8143
Epoch 7: loss=4.7541
Epoch 7: loss=4.6973
Epoch 7: loss=5.0749
Epoch 7: loss=4.6301
Epoch 7: loss=4.6049
Epoch 7: loss=4.5795
Epoch 7: loss=4.5783
Epoch 7: loss=4.9839
Epoch 7: loss=5.1014
Epoch 7: loss=5.9827
